index,ngram,sentences,replace,error,replacement
1639,1,"Deletion of pDCs using DTR(BDCA2) transgenic (Tg) mice suppressed cisplatin-induced AKI, accompanied by marked reductions in proinflammatory cytokine production, immune cell infiltration and apoptosis in the kidney.",['and'],duplication,['and and']
837,1,The morphological and chemotaxonomic properties of the strain are also consistent with those members of the genus Microbispora.,['those'],duplication,['those those']
1755,1,Three patients had relapsing-remitting MS and two patients had secondary progressive MS.,['two'],split_words,['two']
66,1,"As of now, no effective drug, vaccine, or any procedure is available and experiments are underway.",['available'],punctuations,"['available , ']"
995,1,CONCLUSIONS: This study identified race-differentiated SCNAs shared by two related cancers.,['related'],insert_determiner,"['on', 'related']"
235,1,VMHC method was performed to explore the differences in the resting-state interhemispheric functional connectivity.,['was'],duplication,['was was']
319,1,OBJECTIVES: The purpose of this study was to (i) develop a protocol that supports decision making for prehospital spinal immobilization in pediatric trauma patients based on evidence from current scientific literature and (ii) perform an applicability test on emergency medicine personnel.,['current'],insert_determiner_verb_form_change,"['or', 'current']"
502,1,"The factors favouring migration of microembolism remain mainly vascular interventional procedures; easy to diagnose, they oppose spontaneous embolic migrations or secondary to the introduction of antithrombotic treatment, whose diagnosis is more difficult and the prognosis more severe.",['factors'],insert_determiner,"['on', 'factors']"
1792,1,Introduction: Most interventions to date regarding breaking bad news focus on late-stage disease or disclosing a cancer diagnosis.,['on'],remove_words,[]
1686,1,Significant differences in visco-elastic properties were observed between mediums and materials.,['were'],duplication,['were were']
566,1,"The occurrence of bacterial infections in cultured fishes promotes the continuous use of antibiotics in aquaculture, which results in the selection of proliferated antibiotic-resistant bacteria and increases the possibility of transfer to the whole environment through horizontal gene transfer.",['which'],split_words,['which']
1217,1,"In order to deal with the increase in the number of HPO terms and the need for manual curation, it would be useful to have a dictionary containing word-by-word correspondences and fixed translation phrases for English word order.",['In'],duplication,['In In']
289,1,Having >/=2 moderate or severe MS was associated with an increased risk for CVD.,['or'],split_words,['or']
246,1,"During the sleep-wake cycle, the brain undergoes profound dynamical changes, which manifest subjectively as transitions between conscious experience and unconsciousness.",['brain'],split_words,['brain']
794,1,"However, current instruments miss large proportions of children who later go on to be diagnosed with ASD, raising a question of what these instruments measure.",['a'],spelling_errors,['a']
517,1,Diagnosis and initiation of guideline-appropriate treatment were delayed by years in many patients.,['in'],duplication,['in in']
241,1,Aim: To explore the educational needs of nurses on children's pain management.,['of'],duplication,['of of']
1,1,"However, little is known about the role of LA in cognitive impairment in neurodegeneration and disease.",['disease.'],split_words,['disease.']
1702,1,Inhibitors of plasma kallikrein have recently been approved for prophylaxis of hereditary angioedema and are under investigation for use in other indications.,['been'],verb_form_change_insert_determiner,"['of', 'are']"
1315,1,"Conclusion A high-ANA pattern positivity could be related to a high-autoimmunity prevalence in this region, and also promotes its use as a tool of evidence of suspected autoimmune disorders.",['be'],duplication,['be be']
499,1,"We describe our diagnostic accuracy assessment of a novel, rapid point-of-care real time RT-PCR CovidNudge test, which requires no laboratory handling or sample pre-processing.",['a'],punctuations,['a..']
740,1,Nanoparticle tracking analysis (NTA) combined with protein analysis indicated that the production of CD63(+) EVs was selectively induced upon HSV-1 infection.,['was'],insert_determiner_verb_form_change,"['were', 'was']"
1681,1,Additional information is available at www.asco.org/lung-cancer-guidelines.,['available'],insert_determiner_verb_form_change,"['if', 'available']"
335,1,"Strengthening timely detection and reporting of unusual respiratory events from health facilities in Yaounde, Cameroon.",['respiratory'],punctuation_braces,['respiratory {']
294,1,"CONCLUSIONS: After the implementation of a systematic training and QC program, both cytology and HR-HPV testing may be adopted for primary cervical cancer screening in Shandong Province.",['systematic'],verb_form_change_insert_determiner,"['were', 'systematic']"
1599,1,"The performances of prepared membranes were evaluated by pure water permeance testing, protein rejection, and lead rejection.",['and'],duplication,['and and']
71,1,"Results showed a significantly lower biodiversity in the RSV-positive group with respect to the RSV-negative group, a specific microbial profile associated with the RSV-positive group different from that observed in the negative group, and significant modifications in the relative abundance of taxa in the RSV-positive group, as well as in the RSV-A group, with respect to the negative group.",['of'],verb_form_change_insert_determiner,"['an', 'of']"
927,1,INTRODUCTION: Delta-delta-tetrahydrocannabinol and cannabidiol (THC:CBD) oromucosal spray is used as an add-on therapy option for moderate to severe multiple sclerosis (MS) spasticity resistant to other medications.,['and'],verb_form_change_insert_determiner,"['are', 'and']"
1562,1,"Furthermore, the spatial organization of foam structure of the dressings was preserved after superficial distribution of oleoresin, as well as amorphous-like particulate deposition of leaf extract.",['of'],verb_form_change_insert_determiner,"['was', 'of']"
730,1,Drift velocity of electrons is an important parameter when signal formation is considered in detectors.,['is'],insert_determiner,"['on', 'is']"
453,1,Multimorbidity burden and dementia risk in older adults: The role of inflammation and genetics.,['of'],insert_determiner_verb_form_change,"['if', 'of']"
1106,1,"Consistent with this finding, serum Il-18bp levels were similar in these three groups of mice.",['were'],insert_determiner,"['from', 'were']"
466,1,"However, one risk of sports participation is acute vertebral fracture, an injury with significant morbidity.","['However,']",verb_form_change_insert_determiner,"['are', 'However,']"
1379,1,The next breakthrough for protein therapeutics is effective intracellular delivery and accumulation within target cells.,['effective'],spelling_errors,['effective']
1873,1,Suboptimal treatment options contribute to the overall mortality of PIDs in SA.,['treatment'],spelling_errors,['treatment']
1002,1,Methods: This cross-sectional study was conducted from January to December 2016 among 250 school age children residing in an urban resettlement colony of East Delhi.,['of'],punctuation_braces,['of[']
482,1,"Contrarily, nonlinear optical microscopy techniques, which exploit multi-photon processes, allow to study cell behavior in vital and unlabeled conditions.",['in'],remove_words,[]
671,1,"When lighted, the otherwise non-visible lesion within the semi-translucent 3D printed craniums became visible and facilitated immediate success control for the course participants.",['within'],insert_determiner,"['if', 'within']"
645,1,This study suggests that T. cutaneum has great potential for lipid production and wastewaters treatment from cellulosic ethanol fermentation.,['for'],verb_form_change_insert_determiner,"['on', 'for']"
725,1,Results : The site launched in November 2013.,['The'],punctuation_braces,['The }']
1366,1,"Paw withdrawal mechanical threshold, paw withdrawal thermal latency, spinal netrin-1 secretion, DCC level and Pi4KIIa expression were examined.",['were'],spelling_errors,['were']
1990,1,This systematic review evaluated the available literature on the use and associated outcomes of blood product transfusion therapies in LMICs for acute care of patients with injuries.,['with'],remove_words,[]
960,1,"In parallel, a continuous increase in hematocrit, MCV, and RDW was observed, whereas mean corpuscular hemoglobin (MCH) and mean corpuscular hemoglobin concentration (MCHC) decreased.",['in'],insert_determiner_verb_form_change,"['was', 'in']"
657,1,"By contrast, a diminished capacity for growth compensation was found with repeated or late hypoxia experiences.",['was'],insert_determiner_verb_form_change,"['of', 'is']"
1591,1,"CONCLUSIONS: We demonstrated variability in surgical approach when individual patients were evaluated by a panel of surgeons indicating that even ""expert"" surgeons disagree with each other regarding the need for fusion in individual patients.",['evaluated'],insert_determiner,"['to', 'evaluated']"
1150,1,RECENT FINDINGS: Timely diagnosis of pericarditis after AMI is important to prevent potential progression to complicated pericarditis.,['of'],duplication,['of of']
492,1,The prediction accuracy of the two models was compared and analyzed.,['two'],insert_determiner_verb_form_change,"['if', 'two']"
47,1,CONCLUSIONS: Gum chewing decreases postoperative ileus following colorectal surgery.,['CONCLUSIONS:'],spelling_errors,['CONCLUSIONS:']
1358,1,A residual dense network assisted sparse view reconstruction for breast computed tomography.,['network'],insert_determiner,"['is', 'network']"
643,1,"Background: Tuberculous meningitis (TBM), the most severe form of tuberculosis (TB), results in death or neurological disability in >50%, despite World Health Organisation recommended therapy.",['recommended'],verb_form_change_insert_determiner,"['is', 'recommending']"
679,1,Telecommunication and rehabilitation for patients with multiple sclerosis: access and willingness to use.,['and'],insert_determiner,"['on', 'and']"
1323,1,Early detection of pulmonary toxicity would allow prompt therapy and could avoid significant pulmonary damage.,['of'],verb_form_change_insert_determiner,"['of', 'of']"
1119,1,"Furthermore, compared to the SAD patients, the MDD patients showed increased characteristic path length, reduced global efficiency, and decreased nodal centralities and morphological connections in the right middle occipital gyrus and the right postcentral gyrus.",['right'],punctuations,['right ?']
1264,1,Materials and Methods: An agar well diffusion assay method was used to determine the efficacy of the root canal sealer against S. aureus (ATCC 6538) and C. albicans (ATCC 10231).,['well'],insert_determiner,"['are', 'well']"
1281,1,"This study aims to assess the comparative benefit and risk profile of treatment with mineralocorticoid receptor antagonists (MRAs) with regard to all-cause mortality (primary endpoint), cardiovascular mortality, or heart failure (HF)-related hospitalization (secondary endpoints) and the safety endpoints hyperkalemia, acute renal failure, and gynecomastia in patients with chronic HF.",['and'],insert_determiner_verb_form_change,"['it', 'and']"
364,1,"Salmonellosis Outbreak After a Large-Scale Food Event in Virginia, 2017.",['in'],spelling_errors,['in']
39,1,"The studied compounds altered NMN, NAD(+), and NADH levels and the NAD(+)/NADH ratio.",['The'],duplication,['The The']
1935,1,"STUDY DESIGN: Using data from a 2015 nationally representative survey of 2,539 U.S. women aged 15 to 44 assessing interest in using an OTC progestin-only pill, we used discrete survival analysis and a Markov model to analyze women's likelihood of using of an OTC pill at different price points and by sociodemographic characteristics.",['aged'],verb_form_change_insert_determiner,"['to', 'ageing']"
1961,1,"The most frequent symptoms and signs were rash (93.8%), pruritus (77.9%), arthralgia (60.0%), headache (50.8%), myalgia (46.1%), fever (34.7%), asthenia (31.7%), and conjunctivitis (27.9%).",['and'],split_words,['and']
1757,1,Full articles of original data published between 1974 and 2019 were identified using MeSH terms with no search limits.,['using'],punctuation_braces,['using } ']
1623,1,"This review summarizes the association between stress and itch, elucidates the mechanism by which these two phenomena influence one another, and explores treatment modalities that aim to reduce stress-induced itch.",['mechanism'],split_words,['mechanism']
711,1,Emergency ambulances were increasingly utilized for transport of patients who did not require medical intervention from paramedics.,['of'],verb_form_change_insert_determiner,"['an', 'of']"
811,1,"School SHE should start as early as possible, ideally even before secondary school.",['before'],insert_determiner_verb_form_change,"['to', 'before']"
1812,1,"With a fast, effective and multi-disciplinary approach, an accurate diagnosis and effective surgical intervention can prevent morbidity and mortality as well as reduce the rate of undesirable complications.",['mortality'],insert_determiner,"['was', 'mortality']"
132,1,Prevalence of heterozygous SLC52A3 BVVL causative mutations and notable variability in expressivity of homozygous and heterozygous genotypes are being reported for the first time.,['reported'],spelling_errors,['reported']
261,1,"CONCLUSIONS: The study exhibited that CEE has a potential protective effect on lipopolysaccharide induced acute lung injury in mice, the action mechanism of CEE may through balance of the pro-inflammatory and anti-inflammatory factors, and the oxygen free radicals inhibition.",['the'],duplication,['the the']
1137,1,"In 2013, household economic status contributed approximately 75.66% of the inequality in facility-based deliveries, while mothers' education significantly contributed approximately 18.22% to the inequality in antennal visits.",['significantly'],punctuation_braces,['significantly ) ']
745,1,A case of Madelung disease improved by alcohol abstinence.,['improved'],duplication,['improved improved']
79,1,"We investigated the impact of varying sample size, missing effect modifiers, strength of effect modification and validity of the shared effect modifier assumption, validity of extrapolation and varying between-study overlap, and different covariate distributions and correlations.",['of'],punctuations,['of:']
852,1,"This means that RBT could have the potential to improve multiple components of fitness, simultaneously.",['This'],insert_determiner_verb_form_change,"['being', 'This']"
1426,1,Conclusions: Select patients with ICH can be safely admitted to an SDU.,['an'],duplication,['an an']
140,1,"RESULTS: Overall, family member attendance was low.",['RESULTS:'],remove_words,[]
1813,1,METHODS: A cross-lagged panel design was applied to a secondary analysis of data from a randomized clinical trial of patients with pain catastrophizing.,['clinical'],remove_words,[]
1352,1,There is currently no accepted definition or diagnostic criteria for mTBI and therefore no single assessment has been developed or accepted as being able to identify those with an mTBI.,['is'],duplication,['is is']
703,1,"From microbial community structure and functions to metabolic pathways, we revealed the modulation strategies by which biochar and the rhizosphere benefited PAH degradation in soil.",['by'],remove_words,[]
905,1,"In this study, we characterized the Shingrix-specific ex vivo CD4 T cell responses in the context of natural exposure and HZ vaccination using pools of predicted epitopes.",['and'],insert_determiner_verb_form_change,"['a', 'and']"
793,1,S gene mutants of HBV were found in 24.29% of mothers and 16.67% of children with HBV DNA positive sera.,['in'],insert_determiner_verb_form_change,"['in', 'in']"
1199,1,"Functional enrichment and significant pathways of the six significant hub genes indicated that the mostly involved hallmarks include the P53 pathway, K-ras signaling, estrogen response late, and estrogen response early.",['the'],duplication,['the the']
396,1,VEGF-B Gene Therapy for the Heart: Proceed with Caution.,['with'],insert_determiner,"['on', 'with']"
1657,1,"Virtual planning, simultaneous dental implantation and CAD/CAM plate fixation: a paradigm change in maxillofacial reconstruction.",['change'],duplication,['change change']
847,1,"AIM: To clarify the association of cluster number and size of coronavirus disease 2019 (COVID-19) in long-term care (LTC) hospitals/facilities, general medical/welfare facilities and non-medical/welfare facilities with morbidity and mortality in 47 prefectures during 16 January to 9 May 2020 in Japan.",['disease'],insert_determiner_verb_form_change,"['in', 'disease']"
634,1,"In mediation analysis, diabetes had a significant average direct effect on baPWV.",['had'],split_words,['had']
746,1,The aim of this study was to assess the influence of maternal risk factors and prescription drugs in early pregnancy on the risk of omphalocele.,['The'],split_words,['The']
219,1,"The concept of controlling disease transmission relies on contacts suppression; and on the longer end, relies on vaccinations.",['of'],insert_determiner_verb_form_change,"['is', 'of']"
298,1,"Due to the aggressive nature of adrenal angiosarcoma, timely diagnosis and treatment is critical.",['treatment'],verb_form_change_insert_determiner,"['was', 'treatment']"
1733,1,"METHODS: A total of 32,698 currently married women aged 15-49 years who had at least one live birth in the past five years preceding the survey and had information regarding autonomy collected by the National Family Health Survey 2015-16 were used for analysis.",['and'],insert_determiner,"['were', 'and']"
1664,1,"METHODS: To investigate the effect of BFR on muscle atrophy and gene expression levels during cast immobilization in humans, we recruited 10 healthy males who were randomly divided into the control and BFR treatment groups.",['in'],spelling_errors,['in']
1749,1,We aimed to evaluate the impact of different doses of ASA on inflammation control while minimizing adverse effects in the acute phase treatment of KD.,['to'],insert_determiner_verb_form_change,"['been', 'to']"
1734,1,CONCLUSIONS: Our work raises awareness on the best practices when it comes to electives' organization to meet students' satisfaction.,['the'],verb_form_change_insert_determiner,"['a', 'the']"
858,1,"However, how to effectively monitor the immune rejection of xenotransplantation is a problem for physicians and researchers.",['immune'],remove_words,[]
399,1,"We chose this dimensional approach in order to assess mind-body effects as an alternative or complement to conventional medical treatment, which focuses on symptom relief.",['assess'],duplication,['assess assess']
1943,1,"Furthermore, transcriptomic analyses were performed for S Enteritidis and S Typhimurium, with two highly infective and two marginally infective isolates for each serovar.",['for'],remove_words,[]
429,1,"The cytokines IL-1beta, IL-12, IL-23, IL-17 and TNF-alpha are involved in the inflammatory process.",['and'],duplication,['and and']
1950,1,Increased hepatic DNL flux and reduced fatty acid oxidation are hypothesized to contribute to steatosis.,['are'],spelling_errors,['are']
187,1,Acute damage to the blood-brain barrier and perineuronal net integrity in a clinically-relevant rat model of traumatic brain injury.,['a'],insert_determiner,"['to', 'a']"
827,1,"In this article, we review the literature on AMS best practices and discuss AFS through the lens of the global core elements of AMS.",['literature'],spelling_errors,['literature']
1846,1,"A tailored assistance may include manual and mechanical cough assistance, noninvasive ventilation, endotracheal intubation, invasive mechanical ventilation, or tracheotomy.",['or'],verb_form_change_insert_determiner,"['from', 'or']"
1274,1,"Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway enrichment analyses were performed, followed by construction of a protein-protein interaction network to identify hub genes.",['a'],split_words,['a']
1845,1,"Result: MiR-29b-3p was upregulated to 3.2-fold, and SIRT1 protein was downregulated to 65% in DR patients.",['in'],insert_determiner,"['are', 'in']"
593,1,"In addition, CBP contributes to transcriptional activation through its function as a scaffold and protein bridge.",['protein'],verb_form_change_insert_determiner,"['of', 'protein']"
1503,1,Population-specific mtDNA variants clustered in defining the haplogroups have been shown to exacerbate or mitigate these pathological conditions.,['to'],insert_determiner,"['an', 'to']"
1169,1,"These findings confirm the need to identify cell culture alterations after stable transfection, particularly when cells are used for metabolomics and mitochondria-associated studies, and suggest inhibition of CPT1C could be a promising target to intervene pancreatic tumorigenesis.",['used'],spelling_errors,['used']
253,1,"So, in present era IFTAK is emerging as an advanced innovative technique for the management of fistula in ano along with betterment in the consequences of conventional method of Ksharsutra therapy.",['method'],duplication,['method method']
1101,1,STUDY SELECTION: Observational studies and randomized clinical trials in adult patients undergoing venoarterial extracorporeal membrane oxygenation or venovenous extracorporeal membrane oxygenation reporting brain injury.,['patients'],duplication,['patients patients']
1166,1,Identifying critical vulnerabilities in systems and to be proactive about these could be one way to develop a highly reliable mental health care system.,['about'],duplication,['about about']
1485,1,Structural equation modelling was used to test simultaneous hypothesized pathways to violence reduction.,['test'],duplication,['test test']
1972,1,Migration of tumor cells decreased when incubated directly (p < 0.001) or indirectly (p < 0.005) with untreated neutrophils.,['decreased'],split_words,['decreased']
862,1,"Swiss male mice received a single dose of morphine (5 mg/kg, s.c) and CF3 (10 mg/kg, i.g), or morphine was repeatedly injected (5 mg/kg, s.c) and CF3 (10 mg/kg, i.g) administered twice daily for 7 days.",['mice'],verb_form_change_insert_determiner,"['of', 'mice']"
774,1,"Of 1643 AHF patients, 755 patients (46%) experienced an episode of AKI; 310 patients (19%; 41% of AKI patients) presented with community-acquired AKI (CA-AKI), 445 patients (27%; 59% of AKI patients) developed in-hospital AKI.",['an'],spelling_errors,['an']
1363,1,They had a laparotomy with suture reduction of the hernia and reinforcement of the abdominal wall with autologous full-thickness skin.,['the'],duplication,['the the']
1179,1,"On multivariate analyses, hyperthyroid status and activity was associated with severe disease.",['status'],insert_determiner,"['if', 'status']"
1659,1,Biomechanical comparison of different techniques in fixation of simple transverse patella fractures - Is gold standard still valid?,['standard'],insert_determiner,"['in', 'standard']"
346,1,The diastolic parameters of ARV and SD were independent predictors of the severity of angina with non-obstructive coronary artery disease.,['and'],remove_words,[]
1437,1,Review of Vertebral Body Sliding Osteotomy for Cervical Myelopathy with Rigid Kyphosis.,['of'],remove_words,[]
211,1,"In stroke patients, muscle tone on the unaffected side is often increased during voluntary tasks.",['often'],insert_determiner_verb_form_change,"['being', 'often']"
787,1,"Eligible patients must have evidence supporting clinical HFpEF and at least 2 of the following 4 conditions associated with NO deficiency: diabetes/prediabetes, hypertension, obesity, and age >70years.",['following'],insert_determiner,"['an', 'following']"
456,1,No statistically significant difference was noted in the improvement of audiometric results over a period of 6 months after wearing the hearing aid between groups A-IOI and B-IOI.,['was'],verb_form_change_insert_determiner,"['from', 'be']"
737,1,The primary objective was to compare exacerbation rates.,['The'],duplication,['The The']
1584,1,Estimating soil water retention for wide ranges of pressure head and bulk density based on a fractional bulk density concept.,['a'],verb_form_change_insert_determiner,"['was', 'a']"
1061,1,Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer's disease.,['and'],spelling_errors,['and']
656,1,We assessed the association of selected hub genes with the methylation status in immune cells.,['the'],insert_determiner_verb_form_change,"['if', 'the']"
1941,1,The Nei's gene diversity of the nine populations ranged from 0.0647 to 0.0793; a population from Shandong was the lowest and a population from North Korea the highest.,['to'],duplication,['to to']
1254,1,"To develop new recruitment and retention strategies, therefore, we need to draw on as wide a variation in blood donor motivations as possible.",['on'],split_words,['on']
1801,1,Grade of paralysis was evaluated by using a modified visual scoring system.,['of'],insert_determiner_verb_form_change,"['if', 'of']"
1458,1,Conclusion: Our results discovered the causal relationship between mtDYN and nutrient excess-induced chronic inflammation in a diabetes-susceptible cell model.,['Conclusion:'],remove_words,[]
1687,1,"Seven patients, with spurious hyperthyroxinemia due to assays interference were erroneously classified as RTHbeta (n = 4) or TSHoma (n = 3).",['='],insert_determiner_verb_form_change,"['been', '=']"
1879,1,"While bafilomycin preferentially inhibited the cells from relapse patients, the kinase inhibitors were less efficient in these cells.",['the'],insert_determiner_verb_form_change,"['in', 'the']"
1498,1,"An electronic search was conducted using the MEDLINE, PubMed and Cochrane databases up to April 2020.",['conducted'],split_words,['conducted']
323,1,There was no association between caregivers' prognostic understanding and mood.,['and'],insert_determiner,"['is', 'and']"
560,1,"In addition, immunophenotyping showed a decrease of activated lymphocytes and macrophages in the F5 group.",['and'],punctuations,['and...']
658,1,CONCLUSION: This is the first study to use existing human resource data to analyse availability and distribution of SBAs in a DRC province.,['to'],duplication,['to to']
1839,1,"Covid-19: Nearly 6% of people in England were infected by end of June, study suggests.",['of'],remove_words,[]
1090,1,"Modulation of lymphatic flow during times of interstitial volume overload such as septic shock may decrease interstitial volume resulting in improved perfusion, decreased end-organ damage, and contribute to disease resolution.",['contribute'],remove_words,[]
1075,1,"The pooled prevalence of veno-arterial extracorporeal membrane oxygenation successful weaning was 61.4% (95% confidence interval 39.8-82.9%), and all-cause mortality was 36% (95% confidence interval 29.6-48.8%).",['prevalence'],insert_determiner_verb_form_change,"['in', 'prevalence']"
1645,1,"The primary outcome measure was clinical success, defined as <50% residual stenosis and the absence of periprocedural device-related serious adverse events.",['as'],punctuation_braces,['as ]']
633,1,A deep mutational scan of ACE2 expressed on human cells identified mutations that increase S affinity and guided the engineering of a potent and broad soluble receptor decoy.,['on'],spelling_errors,['on']
943,1,"The scaffold supported rabbit AF cells adhesion, proliferation, infiltration and guided oriented growth and extracellular matrix deposition.",['The'],remove_words,[]
766,1,"The expression levels of Notch1, JAG1, and HES1 were decreased after transfecting with sh-NEAT1.",['decreased'],split_words,['decreased']
626,1,Data generated from these surveillance systems have been used in the development of public health and clinical guidelines and practices to improve the safety of U.S. blood products and either prevent hemophilia-related complications or identify complications early.,['systems'],punctuation_braces,['systems}']
1606,1,A smaller LR volume and more limitation of abduction in the affected eye were predictive of an absent abducens nerve in DRS. CONCLUSIONS: LR muscle hypoplasia was apparent in the affected eye of DRS patients.,['CONCLUSIONS:'],insert_determiner,"['was', 'CONCLUSIONS:']"
1827,1,BACKGROUND: The study of mosaic mutation is important since it has been linked to cancer and various disorders.,['study'],spelling_errors,['study']
133,1,"Various factors increase risk of injury, including increased combat loads, poor weather conditions, entanglements, and night jumps.",['risk'],remove_words,[]
1892,1,"The functional experiments revealed that miR-1245a, miR-3682, miR-33b, and miR-5683 promoted the migratory abilities and proliferation of CA cell, whereas miR-152 showed opposite effects.",['of'],verb_form_change_insert_determiner,"['it', 'of']"
1548,1,"The quality of the included literatures was assessed using the software RevMan version 5.3, and a meta-analysis was performed using the software MetaDiSc version 1.4.",['using'],punctuation_braces,['using { ']
494,1,"This immune evasion in the case of prostate cancer has been attributed to tumor-intrinsic factors, an immunosuppressive tumor microenvironment, and host factors, which ultimately make it an inert 'cold' tumor.",['of'],split_words,['of']
1780,1,"METHODS: We treated adult male rats with CSO (1.3 ml/kg, subcutaneous injection, once every other day for 3 weeks) and then constructed a middle cerebral artery occlusion (MCAO) model followed by 24 h of reperfusion.",['24'],remove_words,[]
1435,1,Validation of the Adapted Social Assessment Instrument for Liver Transplantation Candidates.,['of'],spelling_errors,['of']
304,1,DATA SOURCES: Medical record data from nine hospitals in Washington State from January 2016 through September 2018.,['data'],duplication,['data data']
699,1,Cooperative strings and glassy dynamics in various confined geometries.,['various'],remove_words,[]
884,1,"The isolates produced abundant hyaline, single celled, straight and cylindrical conidia, with mean size 10.35 to 15.58 x 3.46 to 5.69 mum.",['with'],insert_determiner_verb_form_change,"['a', 'with']"
1092,1,"Taken together, IMI residues appear to be potentially toxic to mammals and even humans.",['be'],duplication,['be be']
1304,1,CFD may be able to provide an objective measure of treatment response for children with tracheomalacia.,['an'],split_words,['an']
139,1,None of the pregnant women were active tobacco smokers.,['of'],remove_words,[]
568,1,Identification of the alumni's perceived barriers offer targeted areas where increased intervention may be helpful to reduce challenges and strengthen the pipeline.,['increased'],verb_form_change_insert_determiner,"['of', 'increases']"
1875,1,"Then a 7-lncRNA signature for predicting survival was identified from the 16 lncRNAs, which classified ESCC patients into high-risk and low-risk groups.",['identified'],insert_determiner,"['or', 'identified']"
1016,1,Oncological care was largely derailed due to the reprioritisation of health care services to handle the initial surge of COVID-19 patients adequately.,['was'],spelling_errors,['was']
1524,1,A well-designed self-reported scale is highly applicable to current clinical and research practices.,['current'],verb_form_change_insert_determiner,"['were', 'current']"
891,1,BACKGROUND AND OBJECTIVE: Changes in cannabis legalization regimes in several countries have influenced the diversification of cannabis use.,['AND'],split_words,['AND']
1820,1,Theoretical studies suggest that such reproductive interference may have strong effects on species interaction.,['species'],split_words,['species']
65,1,Histopathology revealed the diagnosis of retinal dysplasia.,['diagnosis'],duplication,['diagnosis diagnosis']
556,1,"PRACTICAL APPLICATION: In this study, in vitro batch fermentation was used to evaluate the effect of banana powder on the human intestinal microbial community, and the metabolized products of banana powder were determined.",['human'],remove_words,[]
1512,1,"For each lesson, we describe its importance and provide an example motivated by the BetterBirth Program's development to illustrate how it could be applied to future studies.",['future'],punctuations,['future...']
1748,1,We found a bidirectional causation between bank development (CPSGDP) and stock market performance as proxied by the depth of the markets (MCAPGDP) in the BRICS countries.,['by'],insert_determiner,"['from', 'by']"
1971,1,"To clarify the influence of BP visit-to-visit variability on adverse events in patients with nonvalvular atrial fibrillation, a post hoc analysis of the J-RHYTHM Registry was performed.",['on'],spelling_errors,['on']
1707,1,Measurement of the x-ray effective focal spot size with edge response analysis using digital detectors.,['using'],verb_form_change_insert_determiner,"['is', 'use']"
1537,1,It is therefore urgent to take precautionary actions to prevent a further increase in microplastic concentrations in these environments.,['in'],insert_determiner_verb_form_change,"['on', 'in']"
419,1,Two-thirds of centres reported obtaining insurance approval for bevacizumab for most or all patients but 48% reported difficulty in obtaining coverage.,['patients'],duplication,['patients patients']
299,1,Comparison of serum eosinophil-derived neurotoxin levels between wheezing and non-wheezing groups in children with respiratory tract infection.,['children'],split_words,['children']
177,1,Combinations of systemic drugs are generally more efficacious and safer than higher doses of single drugs.,['single'],punctuations,"['single,.']"
1607,1,"In this review, we summarize the rapidly evolving data and highlight the cardiovascular considerations related to COVID-19.",['data'],insert_determiner_verb_form_change,"['if', 'data']"
1151,1,Our study provides further evidence on the inverse association between handgrip test abnormality and hypertension in diabetic patients.,['provides'],spelling_errors,['provides']
1200,1,"Outcome measures included self-reported moderate and vigorous PA, pedometer counts, and fasting plasma glucose (FPG) and glycated hemoglobin (HbA1C).",['glucose'],duplication,['glucose glucose']
277,1,"Additionally, we also examined uridine diphosphate (UDP)-GlcNAc biosynthesis and O-GlcNAcylation levels in patients with chronic hepatitis B (CHB).",['we'],split_words,['we']
1561,1,"CONCLUSION: Audible scene timers may have the potential to reduce pre-hospital scene time for certain single casualty trauma patients treated by a HEMS team, particularly for those patients needing pre-hospital anaesthesia.",['potential'],insert_determiner_verb_form_change,"['on', 'potential']"
1939,1,"CONCLUSION: Although various echocardiographic parameters may serve as predictors for determining surgical methods for TOF patients, the PV morphology and tissue characteristics should also be considered.",['CONCLUSION:'],punctuations,['CONCLUSION:...']
426,1,"Of the 1347 patients, 1152 met the criteria for analysis.",['the'],duplication,['the the']
183,1,"Climate, soil type, and geographic distribution of actinomycetoma cases in Northeast Mexico: A cross-sectional study.",['in'],remove_words,[]
1609,1,Enrollment was highest in 2014 and lowest in 2016 with a 2.8% annual decease postexpansion.,['in'],remove_words,[]
51,1,Treatment for cnm-positive S. mutans infection may be a novel microbiota-based therapeutic approach for stroke and cognitive impairment.,['be'],punctuations,['be..']
796,1,"Induction, Treatment, and Prevention of Temporomandibular Joint Ankylosis-A Systematic Review of Comparative Animal Studies.",['of'],insert_determiner,"['from', 'of']"
1178,1,"However, whether this may have a secondary negative effect on the longer term in a fluctuating environment remains to be determined, but may be avoided by adopting strategy of selection favoring different genotypes in space and time, as implemented in forestry.",['negative'],duplication,['negative negative']
841,1,"They underwent redo open aortopexy with posterior tracheopexy, and 1 required subsequent tracheostomy.",['required'],insert_determiner_verb_form_change,"['from', 'requires']"
1029,1,The aim of this study was to determine the cutoff values of Eo and FeNO that could be related to the exacerbation of severe asthma.,['the'],verb_form_change_insert_determiner,"['are', 'the']"
1745,1,"After rearing, 10 selected birds from each group were slaughtered.",['from'],insert_determiner,"['an', 'from']"
